ID,Tshangla,English
54,zhyum naang shok pa,"Wings  of  the  yarn  swift,  portion  of  a  yarn  swift excluding the stand"
55,zhyum naang duung shing,A post of the yarn swift
56,son dah ring,Yarn ball winder
57,ji nang,A device to make a yarn skein
58,pa kar,Spool
59,yok pa,Spindle
60,shos kom,"A yarn basket, usually made of bamboo"
61,kuut paang lom naang,Yarn ball
62,dhokh cha,Skein
63,tshô,Dye
64,zahngh ru kuut paang,A yarn made from nettle
65,tshos,Dye
66,bä shä,"Brush, to make yarn from the wool"
67,khah moongh geem,Cloth to be woven on a loom
68,geem,Cloth to be woven on a loom
69,khah moongh jaang,Number of woven cloth pieces required to have a complete cloth of desired size
70,bhoop,A complete cloth piece
71,khah chat,"The edge portion of a woven kira, that has a
pattern, different than that of the main part"
72,maang reem,"A chain-like pattern made at the width-edges of the
woven kira"
73,boom kuut paang,"Thrums, unwoven warp left when the last woven piece is cut from the loom"
74,rom ba,Fringes
75,tshem,"sewing,  seam"
76,thrah,Stripe of different colours with fewer numbers of warp yarn
77,rik pa,Intricate Pattern on a woven cloth
78,hoor,A pattern made by segregating the warp yarns
79,theer mah,Woollen cloth
80,buu ra,"Silk, raw silk"
81,se shu,Silk
82,seer ki,A silver-coloured yarn
83,nö ki,A golden-coloured yarn
84,nam su,Rain
85,nam,"sun, sky"
86,phom,Snow
87,ri di,Wind
88,kheak,Ice
89,ba,Frost
90,ʼmuuk pa,Cloud
91,seer wa,Hailstone
92,shi nang nam,Sunshine with a little bit of drizzling
93,ʼnam cha,Thunderbolt
94,taang le phah,Lightning
95,mung phok pa,Thunder
96,nam su zer ba,Raindrop
97,nam su zim zim,Drizzle
98,ri di nam su,Windstorm
99,mik du ma,Rainbow
100,don ri di,Cyclone
101,chu chuur ba,Cyclone
102,ʼluung tseip,"Cyclone, windstorm"
103,nam pe re re,Scorching sun
104,tson ma,Spinach or sag
105,mom sha ba,Spinach or sag
106,ban da ko pee,Cabbage
107,mey toh ko pee,Cauliflower
108,doh naey,Turnip
109,muu laey,Radish
110,muu lai sa lo,Carrot
111,chang ma,Pea
112,ʼo rey,Beans
113,ʼor sha,Beans
114,pah taang ʼo rey,Flat beans
115,brum sha,Pumpkin
116,ʼis kuus,Squash
117,baan tho,Eggplant
118,baan do,Eggplant
119,joke taang,Potato
120,laam joke taang,Sweet potato
121,zhing joke taang,Sweet potato
122,shing joke taang,"Tapioca, type of potato"
123,laam,Garlic
124,laam sha ba,Garlic chives
125,ʼman ma,Asian chives
126,na raang,Chives
127,kok pa,Spring onion
128,"kok pa sha
ba",Onion leaves
129,sa ga,Ginger
130,u su,Coriander
131,osu,Coriander
132,ʼaue shi la,"Peppermint, mint"
133,nyang saang muu,Dried spinach
134,lo ma saang muu,Dried spinach
135,ʼlam pän taang,Tomato
136,shing ga ʼlam pän taang,Wild tomato
137,nga lak ma,Asparagus
138,so lo,Chili
139,so lo saang muu,Dried chili
140,"so lo ba
ling min",Steamed dried chili
141,"so lo sha
kam",Sliced dry chili
142,no kaam,Sliced dry chili
143,‟nor keam,Sliced dry chili
144,ne ra so lo,"Imperial surya chili or indian
chili"
145,zar ka so lo,Imperial surya chili or indian chili
146,ju ru so lo,Red cherry chili
147,kai ru,"Caigua or pronounced as kai-
wa, cyclanthera pedata"
148,pau la,"Caigua or pronounced as kai-
wa, cyclanthera pedata"
149,khaa laang ji,"Bitter tomato, solanum
incanum"
150,chang mey toh,Orchid
151,khaa lu kai ru,Bitter gourd
152,doh nai saang muu,Dried turnip
153,ba muung,Mushroom
154,ba muung sang muu,Dried mushroom
155,li be,Edamame hummus
156,bro ko li,Broccolli
157,ko pa,"Banana blossom, banana
flower"
158,da wai,fiddlehead
159,ton ki da wai,Autumn fern
160,dree mom,Elatostema lineolatum
161,bo raang joke taang,"Air potato, true yam, a type
of wild potato that can be eaten"
162,mom ba ring,Fish mint
163,phah shi nang,Rattan shoot
164,chur,Seaweed
165,ʼlu ghee,Seaweed
166,so lo mom,Bitter leaf
167,ʼnam na,Bitter leaf
168,khak ti ma,Type of orchid flower
169,wang päm,Type of orchid flower
170,khaa tsir ma mey toh,Malabar nut flower
171,ba muung,Mushroom
172,sang gäy sha muu,Matsutake
173,tsai shing ba muung,Shiitake
174,go wa yan ba muung,Yellow chanterelle
175,seer ba muung,Yellow chanterelle
176,nu ba muung,Orange milk cap mushroom
177,zhul ba muung,Oyster mushroom
178,rum ba ba muung,Ramaria mushroom
179,pho laang ba muung,"Aureoboletus thibetanus,
type of mushroom"
180,da ni ba muung,"Wood ear, Auricularia
auricular"
181,go nor ba muung,"Wood ear, Auricularia
auricular"
182,breng pa ba muung,Turkey tail mushroom
183,roi nang ba muung,"Amanita phalloides, a type
of mushroom"
184,nas ba muung,Lion‟s mane mushroom
185,me rik ma ba muung,"Liberty caps, type of mushroom"
186,joke shing,Trellis
187,shing nar ma,Hardwood
188,shing jam pu,Softwood
189,chang shing,Pine
190,chang ma shing,Willow tree
191,chongma shing,Fig
192,duung shing,Fir
193,shuk pa shing,Juniper
194,tsen dän shing,Sandalwood
195,ba shing,Spruce
196,za shing,Fruit-bearing tree
197,tak pa shing,Birch
198,cha ma lak shing,Maple
199,bai nang shing,Oak
200,kar shing,Poplar
201,zhu daang shing,Rhododendron
202,khey shing,Walnut tree
203,ʼaam shing,Mango tree
204,re nang shing,Conifer
205,leng shing,Peach tree
206,jaa shing,Tea plant
207,shu guu shing,Daphne
208,trop da shing,Eucalyptus
209,päy ma gey sar shing,Red silk cotton tree
210,mo ngan shing,Cotton tree
211,ʼnam ka ling shing,Oroxylum indica
212,ʼa gur shing,Frankincense tree
213,jaang chup shing,Bodhi tree
214,rop taang shing,Chinese lacquer tree
215,jar shing,"A kind of tree that irritates
the skin"
216,brong shing,Rubber tree
217,shî,Bamboo
218,so,Bamboo
219,beng ra,Axe
220,gaam,Glue
221,ra thong,Hammer
222,chang nger,Lever
223,chang zer,Nail
224,pir,Paint brush
225,sek se ma,Sandpaper
226,sek sek pa,Sandpaper
227,chuung zer,Screw
228,ʼmik cha,Horseshoe
229,ko da,Spade
230,pra tah mah ko dah,Rake
231,pra ta ma,Rake
232,tar chuung,Hoe-like axe
233,zer,Wedge
234,chuung zer,Drill
235,chu khaa,Hoe
236,gap cha,Saddlery
237,hem,Shovel
238,khaa chee,Sickle
239,tring ka,Spear
240,chuung zer,"Awl, piercer"
241,nyung,"Awl, piercer"
242,cha pa ʼnya shing,Plough
243,cha pa gaang,Handle of the plough
244,ʼlaang ʼling,Handle of the plough
245,chuuk shing,Beam of the plough
246,ʼnya shing,Yoke
247,pear toh maang,Iron rod
248,gak,Poisoned arrow
249,pear me,Hunting arrow
250,so lep,Saw
251,ʼa ra,Crosscut saw
252,ʼlo pon,Carpenter‟s scale
253,trop da,Gun
254,trop da diu,Bullet
255,pes tol,Pistol
256,chuum pak,Magnet
257,dra li,Shield
258,ji li,Plane
259,phak ze,Paintbrush
260,thrül tshem,Sewing machine
261,tshem kuut paang,Sewing thread
262,shing gaam,Wood glue
263,thik shong,Measuring string
264,thong,Wooden hammer
265,dar doh,Whetstone
266,dar dah luung,Whetstone
267,tso luung,Whetstone
268,sek dah ring,File
269,ri ti,File
270,chu seay,"Time, Hour"
271,kar ma,Minute
272,kar cha,Second
273,dü,"Era, time"
274,dü kaap,"Period, time"
275,ʼe ning,Yesterday
276,khi ning,Day before yesterday
277,khey ning,"Two days before
yesterday"
278,thi nong,Today
279,nam ning,Tomorrow
280,zhim rong,Day after tomorrow
281,shim rong,Two days after tomorrow
282,khim rong,Three days after tomorrow
283,ʼo ma,"Just now,  right now"
284,ʼom den,"A  while ago, some
time ago"
285,ʼe ning khi ning,Last time
286,ʼe hey ning,Last time
287,tsei ney,Next time
288,nam chey,"Next time, Tomorrow"
289,käl pa,Eon
290,go ma,Before
291,go mä,Before
292,ʼo mey,Later
293,ʼo ma,Now
294,tsing tsing,After
295,ʼo ma raang,Immediately
296,kor cha,Around
297,nam tsei baang,Half day
298,nam thur,"All day, one day"
299,thi nong nam che,Nowadays
300,"thi nong nam
ning",Nowadays
301,dü tsö ga,On time
302,ʼbi nang thur,"One night, whole
night"
303,ʼo ma sa ken,Until now
304,ʼo ma sak pu,Until now
305,ʼo ma cham ka,These days
306,ʼo tha cham ka,These days
307,ber,Summer
308,ra la,Winter
309,ton,Autumn
310,guun,Winter
311,ta buu ra,"Always, everytime"
312,ta buu ʼna buu,Everytime
313,nong draang ra,Everyday
314,cham cham,Sometime
315,ming ma tek pa,Before dawn
316,ming tek pa,Dawn
317,bet pu,Morning
318,eun,Morning
319,nam bar ka,"Noon, midday"
320,nam sa la kaam,At sunrise
321,"ngam thong
ma kam",At sunrise
322,nap ka,Afternoon
323,ne ri sha mey,Dusk
324,ming mer be cham pa kaam,Dusk
325,ming rap rip,Dusk
326,ne ri,"Evening, night"
327,be naang,Night
328,be naang barka,Midnight
329,be naang do,Midnight
330,bet pu chu tshei se,ten am
331,ne ri chu tshei se,ten pm
332,bet pu chu tshei saam,three am
333,nap ka chu tshei phe daang thur,twelve thirty pm
334,be nang chu tshei phe daang thur,twelve thirty AM
335,nap ka chu tshei thur,one pm
336,dü rap,Century
337,rap juung,"Name of a cycle of
sixty years starting with fire rabbit year"
338,kor,"A complete cycle of
twelve years"
339,me rap,Generation
340,ʼnam lo,Lunar year
341,chee lo,Ce (common era)
342,lo,Year
343,rang lo,Lunar year
344,lo sar,New year
345,lo na,Inauspicious year
346,daang po,"Olden times, long ago"
347,daang po ding po,"Olden times, long ago"
348,ʼo ma ga dü ka,"Today, modern times"
349,yang thean,Last year
350,zuung thean,Before last year
351,da ri,This year
352,so ngan,Next year
353,shi ngan,After next year
354,nyam,Days
355,ji lo,Rat year
356,ʼlaang lo,Ox year
357,tak lo,Tiger year
358,yö lo,Rabbit year
359,druk lo,Dragon year
360,drü lo,Snake year
361,tai lo,Horse year
362,luk lo,Sheep year
363,tre lo,Monkey year
364,jaa lo,Rooster year
365,khi lo,Dog year
366,phâ lo,Pig year
367,la ni,Month
368,raang dah,Lunar month
369,dao daang pa,January
370,dao ʼnyi pa,February
371,dao sum pa,March
372,dao zhi pa,April
373,dao ʼnga pa,May
374,dao druk pa,June
375,dao dün pa,July
376,dao gäy pa,August
377,dao guu pa,September
378,dao chu pa,October
379,dao chuk che pa,November
380,dao chu ʼnyi pa,December
381,za,Day
382,rey za,Day
383,‟mik mar,Monday
384,lhaak pa,Tuesday
385,phur buu,Wednesday
386,pa sang,Thursday
387,pen pa,Friday
388,ni ma,Saturday
389,da wa,Sunday
390,zhim pu,Sweet
391,jaa laam ji lim,Mixture of sweetness and sourness
392,chuur pu,Sour
393,chuu lum ken,A taste with little bit of sourness
394,cha lam chuu luum,"A taste with little bit of
sourness"
395,khaa lu,Bitter
396,khak tik ken,Quite bitter
397,shok pu,"Hot, spicy"
398,pear buu,"Hot, spicy, Icy"
399,har bu,"Pungent taste, like that of a rotten cheese"
400,bey re re,Taste of a sichuan pepper
401,jaam pu,Weak taste
402,khok pa ʼlu ʼlu,Nauseous
403,phros pe lah mah ʼa ka,Nauseous
404,nar mah,Strong
405,bro ma ka,Tasteless
406,sa lu,Hot
407,so phu,Hot
408,kip kip,Hot
409,chang pu,Cold
410,khur buu,Cold
411,keak puu,Freezing
412,gom pu,Warm
413,ga ma go mo,Luke
414,dra ma dro mo,Lukewarm
415,drö,Heat
416,droop zhi,Square
417,nar ta la,Rectangle
418,khir khir,Circle
419,khir ti la,Circle
420,zur saam pa,Triangle
421,zur phe pa,Four-cornered
422,zur nga pa,"Pentagonal, five-
cornered"
423,zur khuung pa,"Hexagonal, six- cornered"
424,zur yen pa,"Octagonal, eight- cornered"
425,zur song nik tsing pa,"Dodecahedron, twelve-cornered"
426,pe lek taang,Flat
427,lep taang,Flat
428,chong ka ling,Cylindrical
429,tu lum pee,Spherical
430,tu lum pee rui rui,Spherical
431,ka traa ko tro,Crooked
432,jan tah ling juun tah ling,Twisted
433,thrang pu,Straight
434,yor pa ling,tilted
435,yor pa,tilted
436,ku ka ling,"Bent, curved"
437,kho ra,"Bent, curved"
438,kur pa,Bent
439,ring muu,"Long, elongated"
440,ring buu,"Long, elongated"
441,thuum buu,Short
442,thu muu,Short
443,dra dum,Piece
444,dra mî,Grid
445,jaa draam,Grid
446,kor laam,Long    way
447,laam jaa dram,"Four-way    intersection, junction"
448,laam khaap jäa,"Three-way    intersection,
junction"
449,laam gor taap,Turning
450,ga ri laam,"Road,    motor    way"
451,jaa laam,Highway
452,zhung laam,Highway
453,kuur tah laam,Mule    track
454,sep laam,Narrow    path
455,wa laam,Path    for    the    cattle
456,kaang zam,Footbridge
457,tring zam,Suspension    bridge
458,tsar zam,Cane    bridge
459,shing zam,"Wooden    bridge,"
460,cha zam,cantilever    bridge
461,ba zam,"Wooden    bridge,
cantilever    bridge"
462,zur laam,Side    road
463,ri laam,"Waterway,    irrigation
channel"
464,rey la laam,Railway
465,sang laam,Short    cut
466,thrang laam,Short    cut
467,so nam zhing lam,Feeder    road
468,throm lam,"Avenue,    high    street,
street"
469,gong lam,"Ascent,    inclination,
pitch,    slope,    rise, uphill"
470,ku,Statue
471,sa ku,Statue made from clay
472,zaang ku,Statue made from copper
473,ʼmän ku,Statue made from clay
474,baap,Mask
475,zhuk thri,A raised seat
476,thri,A raised seat
477,dran thri,Chair lift
478,guu,Drum
479,ʼnga zuung,Drum stand
480,guu juk paang,A curved drum stick
481,jir juk paang,A pair of straight drumstick
482,poi,Incense stick
483,poi phor,Incense pot
484,sang,Incense
485,sang dzäy,Ingredients in incense
486,sang phur,"Incense pot,  incense burner"
487,sang khô,"Incense pot, incense burner"
488,drip sang,Purifying incense
489,ʼlu sang,Incense offered to the serpent
490,pos kar,Frankincense
491,dam dzäy,Sacred medicinal substance
492,jin lap,Boon
493,dree zaang,Saffron
494,ga bur,Camphor
495,li shi,Clove
496,phreng ma,"Rosary, bead"
497,draang dzin,"Small rings that are stacked and
attached to the rosary as a counter to record the number of chant"
498,dree buu,A ritual bell
499,tsie ling ma,A ritual bell
500,ko trong ma,Rattle
501,traang tring,Rattle
502,dre buu shup,Bell case
503,dor ji,"Vajra, an implement used during ritual"
504,phur pa,Ritual dagger
505,chö thri,Offering stand
506,kar mee tek,A butter lamp stand
507,kar min kong buu,Butter-lamp vessel
508,jam chö kong buu,A set of 108 butter-lamp vessel
509,"kar min dong
rä",Butter lamp wick
510,kar me,Butter lamp
511,mo ngan,"Cotton, cotton wool"
512,dung,Trumpet
513,ka ling,"A reed-like instrument similar to clarinet but slightly larger, used during
Buddhist ceremonies"
514,dung kaar,White conch
515,kaang dung,Thigh-bone trumpet
516,re mong,Cymbals
517,bö röl,A type of cymbals
518,po sang,A type of cymbals
519,sil ʼnön,A type of cymbals
520,tor ma,"A flour, butter or earth-made ritual cakes that are pressed into different
shapes and often coloured and ornamented."
521,tor dzäy,Ingredients for making ritual cakes
522,tsei tor,Long-life torma
523,man drel tsom buu,A pile of mandala
524,ting,A water offering bowl
525,chot pa ting,A water offering bowl
526,phü kong,Libation offering bowl
527,ting sha,"A kind of small cymbal used in
Buddhist ceremonies to provide musical accompaniment"
528,pai der,"Platter, saucer"
529,tor ma zheeng pe ga kho lom,"A large bowl, usually made out of wood, used for kneading dough to make torma"
530,tor tek,Torma-stand
531,tsô,"Food offerings, feast offerings"
532,tsoke thri,"A stand on which feast offerings are
placed"
533,tsoke zhong,A container in which feast offerings are put
534,tek thri,"A long wooden table on which religious
items like statue and tormas are placed"
535,buum pa,"A pitcher-like vessel used as a container
for „cleansing water‟ known as thrϋchu"
536,thot pa,"Skull cup, used for storing dütsei"
537,dü tsei,"Cleansing water, which is usually made by alcohol"
538,thru chu,"Cleansing water that may contain
drizang, gabur or lishi"
539,droop chu,Blessed water
540,sok par,"A wooden block which has the human
and animal carvings on it"
541,ku thaang,"Buddhist painting usually done on canvas or sized cloth of a religious
motif"
542,thaang ka,"Buddhist painting usually done on
canvas or sized cloth of a religious motif"
543,thong drel,Large thangka
544,dep ri,Wall painting of a religious motif
545,tsen dre,"Small rolls of torma served during the
rituals as a prayer for longer life"
546,drui na,Mixture of nine types of grain
547,ʼnam ka ling,Oroxylumindica
548,kar jan,"Colourful and flower-like decoration made with butter on the torma. The patterns depend on the types of ritual
performed"
549,tor maa bok pee,"Any type of flour used for making
torma"
550,tor ma zuung,Money offering on ritual cakes
551,chö drom,Bigger rattle
552,ʼnen dar,"Money offered in sacred places for well
being"
553,cha gap,Fee given to the ritual performers
554,ʼngak chu,"Potion, blessed water"
555,ʼnga mar,Blessed ointment
556,rak traa,"Small container made out of metal in which meat and water offering is done.
Actually, meant for offering blood"
557,tsei dar,Scarf of five colours used while blessing for life
558,mar chang,"Alcohol-offering done during special
occasions"
559,mar chang thro,Vessel used for marchang
560,theer po,Vessel used for marchang
561,ya dren,"Beak/horn-shaped item made out of
butter,  radish or wood, attached on the surface of marchang thro"
562,dar shing,Prayer flag
563,khaa dar,Scarf
564,ma ni laa kor,Small prayer wheel
565,chu kor,A prayer wheel run by the stream water
566,chu khor ma ni,A prayer wheel run by the stream water
567,ma ni dung khor,A large prayer wheel
568,mani dung juur,A large prayer wheel
569,jap gaû,Amulet
570,suung ma,Talisman
571,chö ga pey cha,Religious texts
572,chö ten,Stupa
573,cham chä,Mask dance items
574,thün pe cha,Prayer book
575,doh maang,Collection of sutras
576,döh,Ritualistic thread-cross
577,ʼwaang,Blessing
578,näy wa,Hell
579,thoh ri,Heaven
580,khor wa,Samsara
581,thün,Prayer
582,ʼmön lam,Wish
583,ʼnäy kor,Pilgrimage
584,kor zä,Handout
585,kil khor,Mandala
586,kan juur,Buddhist canon
587,ta shi ta gäy,The eight auspicious signs
588,ta shi ʼmön lam,Concluding prayer
589,kaam tsô,"Offerings other than cooked foods such as biscuits, noodles, fried or roasted grain items, etc."
590,ku ke,"Re-birth, re-incarnation"
591,chap,"Protector, refuge, asylum, deliverance"
592,chap gön,"Protector, saviour, refuge, providence,
protectress, redeemer, relief"
593,chap dro,Refuge
594,ke ga na che,"Living beings life of birth, aging,
sickness and dying"
595,ke wa,"Incarnation, rebirth"
596,ke sei,Birth horoscope
597,kham suum,The three realms
598,goam,Meditation
599,droop chen,Grand religious ceremony
600,dru pa,Meditation
601,gäy tong pa,Prajnaparamita in eight thousand verses
602,ʼnga ging,A kind of mask dance performed with drums
603,ʼnga cham,A mask dance performed with drums
604,ʼngak,"Mantra, charm"
605,khaam nga,The five elements
606,me kham,Fire element
607,cha kham,Metal element
608,chu kham,Water element
609,sa kham,Earth element
610,ʼlung kham,Air element
611,chom thrül,"Miracles, miraculous performance"
612,cho,"dharma, religion  or phenomena"
613,cho po ti,Volume of scriptures
614,cho ga tah wa,"Religious principle, philosophy"
615,jin pa,"Charity, alms"
616,cho ga shäk pa,Religious discourse
617,kön cho suum,The triple gem
618,chö khor,"Religious teaching, sermon, dharma
chakra"
619,chö dro,"Spiritual friend, dharma friend"
620,chö gäl,"Religious king, dharma raja"
621,chö luk,"Faith, sect, religion"
622,chot pa,Religious offering
623,choe kin jey po,Lord of death
624,chee wa me tak pa,"Impermanence, uncertainty"
625,jam chö,Libation
626,jaa phü,The first tea offering
627,jäa khaa,Audience or Public display
628,tom chö,Libation
629,ku ten,Statue
630,suung ten,Religious texts
631,thuk ten,Stupa
632,thuk dam,Deep concentration or Prayer beads
633,däy pa,"Faith, belief"
634,dü zaang,Auspicious day
635,dam cha,"Oath, pledge"
636,dam chö,Dharma
637,dam pa,"Sublime, noble"
638,dam pai ʼlha chö,"Sublime religion, dharma"
639,dän sa,"Seat, residence"
640,dam nga,Advice
641,geiu gey sa,Funeral rites
642,gey wa,"Virtue, merit"
643,nang ten,Sacred object
644,nang pa,Buddhist
645,ʼnam thar,Biography
646,ʼnam trül,"Embodiment, manifestation"
647,kur pa,"Backbite, slander, profanity"
648,thri luung,Oral transmission and explanation
649,ʼngön shey,"Clairvoyance, supernatural perception, prediction, prophecy"
650,gur ma,"Religious song, spiritual song"
651,gur ʼlu,"Religious song, spiritual song"
652,zhaap ten,Prayer for stability of life
653,tsoke ʼlu,Feast song
654,ter,Treasure
655,ter ma,Treasure
656,jaang,I
657,jaang tan,Myself
658,jaang tan raang,Myself
659,jaang ga,Mine
660,rok,"He, she"
661,rok ten,"Himself, herself"
662,rok ten raang,"Himself, herself"
663,rho kaa,"His, her‟s"
664,naan,You
665,nai baak,You
666,naan tän,Yourself
667,naan tän raang,Yourself
668,naan ga,Yours
669,nai baak,You all
670,thaa,You
671,thaa baak,You
672,rok tey baak,"They, Them"
673,rok tey baak ten raang,Themselves
674,rok tey ten raang,Themselves
675,rok tey ga,Their
676,ʼai baak,"We, us"
677,ʼai baak ten,Ourselves
678,ʼai baa ka,"Our, ours"
679,ʼai ten ga,"Our, ours"
680,so so,Other
681,rok tey,Other
682,bra,Other
683,so so baak,Others
684,ʼo thaa,This
685,ʼa thaa,"This, here"
686,ʼoh nu,This
687,ʼoh thaa baak,These
688,ʼa thaa baak,These
689,ʼoh nu baak,These
690,ʼoh nu,This
691,ʼoh na baak,Those
692,ʼoh nu baak,These
693,ley la baak,Those
694,kaam zhing,Dry land
695,chu zhing,Wet land
696,tsham toke sa,"Barber‟s shop, hair-cutting
saloon"
697,tsham mek sa,"Barber‟s shop, hair-cutting
saloon"
698,phai,House
699,ma phai,"Maternal house, main house"
700,tson kang,Prison
701,throm,"Town, market"
702,dung,"Village, countryside, rural area"
703,dra tshang,Monastic institution
704,shäy dra,Monastic institution
705,gon pa,Monastery
706,gön khaang,Inner chapel
707,ga ri chot sa,Automobile workshop
708,ga ri thaa sa,Car parking
709,drem khang,Post office
710,jaam tso,"Ocean, sea"
711,tsho,Lake
712,gäy sa tey wa,Capital
713,zhung,Capital
714,go nor ʼmän kaang,Veterinary hospital
715,druip dra,"Retreat centre, meditation centre"
716,gom dey,Spiritual community
717,shong laa sa,Resting place
718,naa daang,Resting place
719,sa chu,Hot spring
720,ʼman chu,"1. Hot stone bath
2.  Mineral water"
721,ri zik sa,"Washroom, bathroom"
722,ri khap ji,Water distribution point
723,ri ‟nai ma,"Bank, riverside"
724,ri muung,"Spring, water source"
725,ri tshang,"Pond, pool"
726,nga tsang,Fish pond
727,nga sing sa,"Fish farm, fishery"
728,go waa phai,Coop
729,wa phai,Cowshed
730,phak pa kor kang,Pigsty
731,kuur ta phai,"Mews, stable"
732,chang sa,Play ground
733,daang räy,Village compound
734,nây,Forest
735,ma nang,Forest
736,bo raang,Bush
737,wa braang sa,"Grazing land for cattle in the
forest"
738,che ma,Bush
739,ʼman kang,Hospital
740,"druk pa ʼman
kang",Traditional hospital
741,ʼnam dru thaang,Airport
742,par khaang,Photo studio
743,paang thaang,Ground
744,ung,Ground
745,dur thrö,Grave
746,tsong kaang,Shop
747,sha kang,Meat shop
748,mom se tsong sa,Vegetable market
749,ba go,Hut
750,ba kaa li phai,Plank house
751,ʼma kang,Military camp
752,laa khaang,Temple
753,zong,Dzong
754,ʼa ni mo dra tsang,Nunnery
755,yik tsang,Office
756,ʼa ring,Terrace
757,ʼung,Field
758,mom se dum ra,Vegetable garden
759,chuur,Kitchen garden
760,brak,Cliff
761,phuung ka paang,Cave
762,sam dro,Grassland
763,phu,"Highland, Mountain"
764,shot,Lowland
765,laa,Pass
766,dey khaa,Contingent
767,jaa thaang,Indian plain
768,shing drak sa,Sawmill
769,gaang thröe,Mountain retreat
770,ri thrö,Mountain retreat
771,tsham kaang,Hermitage
772,tsham phai,Hermitage
773,rho kang,Mortuary
774,ʼnäy kang,Residence of local deity
775,tshang,Nest
776,ga ri phai,Garage
777,nas,Comb
778,shing ga nas,Tight-tooth combs used for removing lice from the hair
779,sam daam kaan,Hair tie
780,sam thik saam,Hair tie
781,na ga keer,Earrings
782,na ke ri,Earrings
783,juu ru,Necklace
784,juu ru shai,A ring of beads/coral
785,zi,Cat‟s eye
786,na ʼyu,Turquoise
787,ʼyu,Turquoise
788,muu ti,A coral necklace
789,ji ning,Red coral necklace
790,dor ji,"Vajra, usually small in size
and worn as jewellery"
791,tso,Bracelet
792,tsai duum,Ring
793,ko ma,Brooch
794,jap thah,Chain connecting the two brooches
795,thur paang,Brooch used in olden times
796,thai ma,Leather belt
797,ko chap,"A leather belt with silver patterns, worn  by kings and the higher officials, in the olden times"
798,pe tree,Belt
799,shaa raang si,Hair oil
800,traa män,Hair oil
801,tsham zün ma,"Wig, artificial hair"
802,zu ka ʼman,Face cream
